Order_Id,Customer_Name,Customer_Email,Age,Order_Amount,Order_Date,Product_Category,Quantity,Is_Shipped
1,John Doe,john@email.com,25,100.5,2024-01-15,Electronics,1,True
2,Jane Smith,jane@email.com,30,250.75,2024-01-16,Clothing,2,False
3,Unknown,invalid_email,-5,50.0,2024-13-45,Electronics,1,True
4,Bob Johnson,bob@email.com,45,187.625,2024-01-18,Home,3,True
5,Alice Williams,alice@email.com,28,300.0,2024-01-19,Electronics,1,False
7,Charlie Brown,Unknown,35,175.25,2024-01-20,Clothing,2,True
8,Diana Prince,diana@email.com,150,425.5,2024-01-21,Home,1,True
9,Eve Davis,eve@email.com,22,80.0,2024-01-22,Electronics,1,1
11,Grace Lee,grace@email.com,33,200.0,2024-01-24,Home,2,True
12,Henry Wilson,henry@email.com,29,150.5,2024-01-25,Electronics,1,False
